X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13645497.4182,5706026.1497,98,2025/06/08 22:58:03+00,25-154376,0,20250608154651,No,883464,45.53426336528969,-122.57958890182528,97213,Madison South,2025,6
-13656367.8887,5711659.4541,100,2025/06/08 22:48:03+00,25-154374,0,20250608153913,No,883456,45.5696999999612,-122.67723999978249,97217,Piedmont,2025,6
-13635702.9937,5701401.6807,105,2025/06/08 22:38:04+00,25-154369,0,20250608153251,No,883444,45.50515616950282,-122.49160408955024,97236,Centennial,2025,6
-13636828.6484,5701213.1914,109,2025/06/08 22:38:04+00,25-154365,0,20250608153105,Yes,883434,45.50396946635741,-122.50171601776674,97236,Centennial,2025,6
-13636475.1271,5701219.7602,111,2025/06/08 22:38:03+00,25-154363,0,20250608152918,Yes,883429,45.50401082305469,-122.49854028189624,97236,Centennial,2025,6
-13647350.3845,5699952.1951,112,2025/06/08 22:28:04+00,25-154362,0,20250608151009,Yes,883410,45.496029760682205,-122.59623438130777,97206,Foster-Powell,2025,6
-13656080.9263,5704871.6344,115,2025/06/08 22:28:04+00,25-154359,0,20250608145921,No,883397,45.52699805963685,-122.67466217268363,97209,Old Town,2025,6
-13656100.0356,5704602.9105,123,2025/06/08 22:18:04+00,25-154351,0,20250608145650,No,883383,45.525306859253796,-122.6748338344462,97209,Old Town,2025,6
-13655317.1532,5705308.7587,126,2025/06/08 22:18:04+00,25-154348,0,20250608145509,No,883377,45.52974897086689,-122.66780108219032,97232,Lloyd,2025,6
-13655896.4025,5704587.3842,130,2025/06/08 22:08:05+00,25-154344,0,20250608145308,No,883371,45.525209143709965,-122.67300456718536,97209,Old Town,2025,6
-13656352.6361,5704349.7128,131,2025/06/08 22:08:04+00,25-154343,0,20250608145242,No,883370,45.52371332570858,-122.67710298334546,97209,Old Town,2025,6
-13656358.0105,5705049.5894,133,2025/06/08 22:08:04+00,25-154341,0,20250608145152,No,883367,45.52811798251771,-122.6771512624021,97209,Old Town,2025,6
-13656289.9338,5704971.958,134,2025/06/08 22:08:04+00,25-154340,0,20250608145130,No,883366,45.52762942814605,-122.67653971900108,97209,Old Town,2025,6
-13656067.7887,5704411.8179,137,2025/06/08 22:08:03+00,25-154337,0,20250608145009,No,883363,45.52410419662901,-122.67454415561485,97209,Old Town,2025,6
-13660944.233,5713467.6776,139,2025/06/08 21:48:04+00,25-154335,0,20250608144209,Yes,883357,45.58106999986223,-122.71835000008332,97203,Portsmouth,2025,6
-13651225.6821,5703586.9194,148,2025/06/08 21:08:04+00,25-154326,0,20250608140418,No,883322,45.518912310722776,-122.63104677195369,97214,Sunnyside,2025,6
-13647621.1985,5698246.2833,150,2025/06/08 20:58:04+00,25-154324,0,20250608134701,Yes,883310,45.485286918293106,-122.59866714486132,97206,Mt. Scott-Arleta,2025,6
-13650900.2276,5702673.8553,152,2025/06/08 20:48:04+00,25-154322,0,20250608133741,Yes,883304,45.513164954571906,-122.62812316443734,97214,Sunnyside,2025,6
-13656363.0864,5699513.8765,153,2025/06/08 20:38:04+00,25-154321,0,20250608132936,No,883294,45.49326968014905,-122.67719685998759,97239,Homestead,2025,6
-13653834.0957,5699038.6177,156,2025/06/08 20:28:04+00,25-154318,0,20250608131842,No,883281,45.490276835304506,-122.65447854999553,97202,Sellwood-Moreland,2025,6
-13647231.8474,5699320.7685,158,2025/06/08 20:28:04+00,25-154316,0,20250608131715,Yes,883275,45.49205364129642,-122.59516954442113,97206,Foster-Powell,2025,6
-13654427.677,5703736.5091,163,2025/06/08 20:18:04+00,25-154311,0,20250608131344,No,883267,45.51985385927888,-122.6598107815371,97214,Buckman,2025,6
-13638409.2175,5704473.7376,165,2025/06/08 20:18:04+00,25-154309,0,20250608130646,Yes,883255,45.52449389799372,-122.51591451156811,97230,Hazelwood,2025,6
-13648121.6222,5700198.2267,166,2025/06/08 20:18:03+00,25-154308,0,20250608130506,No,883253,45.497578955829084,-122.60316252744377,97206,South Tabor,2025,6
-13636261.8044,5701308.9409,170,2025/06/08 19:58:04+00,25-154304,0,20250608125017,No,883233,45.504572295388385,-122.49662397147765,97236,Centennial,2025,6
