X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,latitude,longitude,zip_code,NAME
-13648218.6859,5700154.5001,23,23-145717,2023/05/04 17:26:52+00,1,1,0,0,5,5,0.0,SE 57TH AVE and SE POWELL BLVD FRONTAGE RD,2023/05/04 17:36:54+00,,0.0,45.49730362424448,-122.60403446549618,97206.0,Foster-Powell
-13657200.309,5702973.2021,24,23-158056,2023/06/09 18:37:32+00,3,3,0,0,5,20,0.0,1400-1499 SW 10TH AVE,2023/06/09 19:36:41+00,,0.0,45.51504928199881,-122.6847177585655,97201.0,Portland Downtown
-13655776.6711,5704042.1733,25,24-28050,2024/04/26 18:04:57+00,6,12,0,0,5,40,0.0,1ST and  SW ASH ST ,2024/04/26 18:36:47+00,,0.0,45.521777724076145,-122.67192900171928,97204.0,Old Town
-13645324.568,5696746.1551,26,23-172689,2023/09/07 19:46:16+00,4,4,0,0,5,20,0.0,SE 83RD AVE and SE DUKE ST,2023/09/07 20:36:41+00,,0.0,45.475838288371904,-122.57803616206006,97266.0,Lents
-13637809.898,5704260.9169,27,24-06749,2024/02/08 21:28:29+00,2,4,0,0,5,20,0.0,"5-99 NE 148TH AVE, PORTLAND  97230",2024/02/08 21:36:40+00,,0.0,45.523154466160356,-122.5105307328989,97230.0,Glenfair
-13654750.144,5703040.0821,28,23-196465,2023/10/05 19:50:09+00,5,5,0,0,5,30,0.0,1000-1099 SE 3RD AVE,2023/10/05 20:36:45+00,,0.0,45.51547026941905,-122.66270755188435,97214.0,Buckman
-13656341.588,5704709.7561,29,23-213906,2023/12/08 22:08:19+00,2,2,0,0,5,10,0.0,600-699 NW FLANDERS ST,2023/12/08 22:36:41+00,,0.0,45.52597929276608,-122.67700373657456,97209.0,Old Town
-13645060.5559,5695110.9843,30,24-25407,2024/04/19 20:28:01+00,2,3,0,0,5,40,0.0,"WEST LENTS FLOODPLAIN, PORTLAND  97266",2024/04/19 20:36:38+00,,0.0,45.46553728119545,-122.57566450101383,97266.0,Lents
-13645341.2253,5707648.4483,31,23-217006,2024/03/13 20:14:27+00,0,4,0,0,5,15,0.0,"8200 NE SISKIYOU ST, PORTLAND  97220",2024/03/13 20:36:38+00,,1.0,45.54447082138794,-122.57818579713187,97220.0,Madison South
-13645706.6497,5703938.7063,32,24-32819,2024/05/10 17:37:23+00,3,8,0,0,5,60,0.0,SE 80TH AVE & SE ASH ST,2024/05/10 18:36:42+00,,0.0,45.52112650529513,-122.581468460369,97215.0,Montavilla
-13654302.2725,5704606.4935,33,23-217637,2024/03/15 22:13:24+00,1,2,0,0,5,1,0.0,"300-399 NE 7TH AVE, PORTLAND  97232",2024/03/15 22:36:42+00,,0.0,45.52532940901899,-122.65868425374666,97232.0,Kerns
-13650638.669,5703725.0321,34,23-202194,2023/11/01 17:58:07+00,3,4,0,0,5,5,0.0,400-499 SE 37TH AVE,2023/11/01 18:36:15+00,,0.0,45.51978162122171,-122.6257735435566,97214.0,Laurelhurst
-13645755.656,5700262.6741,35,23-171089,2023/07/21 17:56:58+00,9,9,0,0,5,45,0.0,3300-3499 SE 79TH AVE,2023/07/21 18:36:46+00,,1.0,45.497984756816244,-122.58190869145204,97206.0,South Tabor
-13664123.2363,5715866.0261,36,24-16510,2024/03/15 17:55:03+00,1,1,0,0,5,2,0.0,"8160 N FESSENDEN ST , PORTLAND  97203",2024/03/15 18:36:46+00,,0.0,45.59614711842336,-122.7469074726099,97203.0,St. Johns
-13654201.3517,5704046.3535,37,24-19648,2024/03/28 17:31:38+00,1,2,0,0,5,5,0.0,"737 SE ASH ST , PORTLAND  97214",2024/03/28 17:36:48+00,,1.0,45.52180403399484,-122.65777766677539,97214.0,Buckman
-13643903.2535,5699140.2841,38,24-20061,2024/03/29 17:11:17+00,2,6,0,0,5,40,1.0,SE 96th and SE Cora -V5,2024/03/29 20:16:03+00,,0.0,45.49091707198422,-122.56526827667113,97266.0,Lents
-13641815.4449,5696734.0053,39,23-155620,2023/06/30 21:39:50+00,1,5,0,0,5,10,1.0,Brookside,2023/06/30 22:36:41+00,,0.0,45.47576175580113,-122.5465131729142,97266.0,Pleasant Valley
-13655737.2583,5703954.9873,40,24-27916,2024/04/26 18:08:32+00,5,10,0,0,5,20,0.0,SW 1st and Pine,2024/04/26 18:36:47+00,,0.0,45.5212289780128,-122.67157495051298,97204.0,Old Town
-13650105.998,5706525.1351,41,23-125333,2023/05/15 13:50:18+00,1,1,0,0,5,5,0.0,1900-2099 NE 41ST AVE,2023/05/15 14:36:04+00,,0.0,45.53740316439186,-122.62098847854953,97212.0,Hollywood
-13658698.5959,5706989.1791,42,24-00496,2024/01/12 21:37:59+00,0,0,0,0,5,10,0.0,NW REED AND 22ND,2024/01/12 22:36:40+00,,0.0,45.540322942068286,-122.69817709878815,97210.0,Northwest District
-13655028.3868,5703214.4677,43,24-00578,2024/03/29 17:24:49+00,0,0,0,0,5,1,0.0,Se Belmont Water-2nd,2024/03/29 20:16:03+00,,1.0,45.51656795412673,-122.66520704948371,97214.0,Buckman
-13646563.619,5706168.6281,44,23-169963,2023/10/20 19:49:30+00,3,3,0,0,5,20,0.0,7200-7299 NE BROADWAY  ,2023/10/20 20:36:43+00,,1.0,45.53515990950773,-122.58916674657111,97213.0,Montavilla
-13654615.221,5716030.4071,45,22-101524,2023/05/25 19:32:44+00,0,0,0,0,5,20,0.0,10301 NE 6TH DR,2023/05/25 19:36:42+00,,0.0,45.5971803444765,-122.66149551795357,97211.0,East Columbia
-13643804.123,5703038.2931,46,22-92423,2023/05/18 21:19:49+00,3,1,0,0,5,45,0.0,205 nb r/w north of Main ,2023/05/18 21:36:56+00,,0.0,45.51545900829834,-122.56437777223842,97216.0,Hazelwood
-13655083.96,5706519.7611,47,23-168038,2023/07/06 22:07:24+00,1,3,0,0,5,10,0.0,Ne San Rafael ,2023/07/06 22:36:40+00,,0.0,45.537369350147216,-122.66570627203319,97212.0,Eliot
-13648372.5628,5699969.0945,48,24-28371,2024/05/02 20:28:39+00,0,0,0,0,5,5,0.0,SE 56th and SE RHONE,2024/05/02 20:36:45+00,,0.0,45.49613617304493,-122.60541676520761,97206.0,Foster-Powell
-13641369.485,5697256.5491,49,23-208945,2023/11/17 22:41:38+00,3,4,0,0,5,20,0.0,Zenger Farm-SwCT,2023/11/17 23:36:36+00,,0.0,45.479053207475566,-122.54250704697145,97266.0,Powellhurst-Gilbert
-13645280.9099,5697980.3121,50,23-172544,2023/07/27 19:50:57+00,6,6,0,0,5,20,0.0,8300-8399 SE INSLEY ST,2023/07/27 20:36:42+00,,1.0,45.483611801406916,-122.577643974675,97266.0,Lents
-13645397.163,5695886.8271,51,23-185440,2024/01/25 18:25:40+00,0,4,0,0,5,30,0.0,7304 SE 82ND AVE,2024/01/25 18:36:43+00,,1.0,45.47042505564505,-122.57868829404056,97266.0,Lents
-13655955.8189,5704546.1331,52,23-124527,2023/02/23 19:27:09+00,1,1,0,0,5,20,0.0,200-299 NW 3RD AVE,2023/02/23 19:36:48+00,,0.0,45.524949527029115,-122.67353831378784,97209.0,Old Town
