ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97051,STANDARD,SAINT HELENS,,,,ST HELENS,,,97051,96
97053,STANDARD,WARREN,,,,,,,97053,97
97054,STANDARD,DEER ISLAND,,,,,,,97054,98
97055,STANDARD,SANDY,,,,,,,97055,99
97056,STANDARD,SCAPPOOSE,,,,,,,97056,100
97136,STANDARD,ROCKAWAY BEACH,ROCKAWAY,ROCKAWAY BCH,,BRIGHTON,MANHATTAN BEACH,TWIN ROCKS,97136,101
97137,STANDARD,SAINT PAUL,,,,ST PAUL,,,97137,102
97138,STANDARD,SEASIDE,GEARHART,,,ELSIE,JEWELL,,97138,103
97140,STANDARD,SHERWOOD,,,,,,,97140,104
97141,STANDARD,TILLAMOOK,,,,CAPE MEARES,LEES CAMP,,97141,105
97143,PO BOX ONLY,NETARTS,NETARTS BAY,,,,,,NO ZCTA,106
97144,STANDARD,TIMBER,,,,,,,97144,107
97145,PO BOX ONLY,TOLOVANA PARK,,,,,,,97145,108
97146,STANDARD,WARRENTON,,,,,,,97146,109
97147,PO BOX ONLY,WHEELER,,,,,,,97147,110
97148,STANDARD,YAMHILL,,,,,,,97148,111
97149,STANDARD,NESKOWIN,,,,,,,97149,112
97201,STANDARD,PORTLAND,,,,,,,97201,113
97202,STANDARD,PORTLAND,,,,,,,97202,114
97203,STANDARD,PORTLAND,,,,,,,97203,115
97204,STANDARD,PORTLAND,,,,,,,97204,116
97205,STANDARD,PORTLAND,,,,,,,97205,117
97206,STANDARD,PORTLAND,,,,,,,97206,118
97207,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,119
97208,PO BOX ONLY,PORTLAND,,,,,,,97208,120
97209,STANDARD,PORTLAND,,,,,,,97209,121
97210,STANDARD,PORTLAND,,,,,,,97210,122
97211,STANDARD,PORTLAND,,,,,,,97211,123
97212,STANDARD,PORTLAND,,,,,,,97212,124
97213,STANDARD,PORTLAND,,,,,,,97213,125
97214,STANDARD,PORTLAND,,,,,,,97214,126
97215,STANDARD,PORTLAND,,,,,,,97215,127
97216,STANDARD,PORTLAND,,,,,,,97216,128
97217,STANDARD,PORTLAND,,,,,,,97217,129
97218,STANDARD,PORTLAND,,,,,,,97218,130
97219,STANDARD,PORTLAND,,,,,,,97219,131
97220,STANDARD,PORTLAND,,,,MAYWOOD PARK,MAYWOOD PK,PARKROSE,97220,132
97221,STANDARD,PORTLAND,,,,,,,97221,133
97222,STANDARD,PORTLAND,MILWAUKIE,OAK GROVE,,,,,97222,134
97223,STANDARD,PORTLAND,TIGARD,,,,,,97223,135
97224,STANDARD,PORTLAND,KING CITY,TIGARD,,DURHAM,,,97224,136
97225,STANDARD,PORTLAND,,,,WEST SLOPE,,,97225,137
97227,STANDARD,PORTLAND,,,,,,,97227,138
97228,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,139
97229,STANDARD,PORTLAND,,,,CEDAR MILL,FOREST HEIGHTS,ROCK CREEK,97229,140
97230,STANDARD,PORTLAND,,,,PARKROSE,,,97230,141
97231,STANDARD,PORTLAND,,,,BURLINGTON,,,97231,142
97342,PO BOX ONLY,DETROIT,,,,,,,97342,143
97232,STANDARD,PORTLAND,,,,,,,97232,144
97233,STANDARD,PORTLAND,,,,ROCKWOOD,,,97233,145
97236,STANDARD,PORTLAND,,,,,,,97236,146
97238,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,147
97239,STANDARD,PORTLAND,,,,,,,97239,148
97240,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,149
97242,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,150
97250,UNIQUE,PORTLAND,,,,SHARED RESHIPPER,,,NO ZCTA,151
97251,UNIQUE,PORTLAND,,,,ADAIR VILLAGE,SHARED RESHIPPER,,NO ZCTA,152
97343,STANDARD,EDDYVILLE,,,,,,,97343,153
97252,UNIQUE,PORTLAND,,,,SHARED RESHIPPER,,,NO ZCTA,154
97344,STANDARD,FALLS CITY,,,,,,,97344,155
