ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97753,STANDARD,POWELL BUTTE,,,,,,,97753,403
97754,STANDARD,PRINEVILLE,,,,,,,97754,404
97756,STANDARD,REDMOND,,,,EAGLE CREST,,,97756,405
97758,STANDARD,RILEY,,,,,,,97758,406
97759,STANDARD,SISTERS,,,,BLACK BUTTE RANCH,BLK BTTE RNCH,TOLLGATE,97759,407
97760,STANDARD,TERREBONNE,CRKD RVR RNCH,CROOKED RIVER,CROOKED RIVER RANCH,,,,97760,408
97761,PO BOX ONLY,WARM SPRINGS,,,,KAH NEE TA,KAHNEETA,,97761,409
97801,STANDARD,PENDLETON,CAYUSE,,,,,,97801,410
97810,STANDARD,ADAMS,,,,,,,97810,411
97812,STANDARD,ARLINGTON,,,,,,,97812,412
97813,STANDARD,ATHENA,,,,,,,97813,413
97814,STANDARD,BAKER CITY,MEDICAL SPGS,MEDICAL SPRINGS,,,,,97814,414
97817,STANDARD,BATES,,,,,,,97817,415
97818,STANDARD,BOARDMAN,,,,,,,97818,416
97819,STANDARD,BRIDGEPORT,,,,,,,97819,417
97820,STANDARD,CANYON CITY,,,,,,,97820,418
97823,STANDARD,CONDON,LONEROCK,,,,,,97823,419
97824,STANDARD,COVE,,,,,,,97824,420
97825,STANDARD,DAYVILLE,,,,,,,97825,421
97826,STANDARD,ECHO,,,,,,,97826,422
97827,STANDARD,ELGIN,,,,,,,97827,423
97828,STANDARD,ENTERPRISE,,,,,,,97828,424
97830,STANDARD,FOSSIL,KINZUA,MAYVILLE,,,,,97830,425
97833,STANDARD,HAINES,,,,,,,97833,426
97834,STANDARD,HALFWAY,,,,,,,97834,427
97835,STANDARD,HELIX,,,,,,,97835,428
97836,STANDARD,HEPPNER,,,,,,,97836,429
97837,STANDARD,HEREFORD,,,,,,,97837,430
97838,STANDARD,HERMISTON,,,,,,,97838,431
97839,STANDARD,LEXINGTON,,,,,,,97839,432
97840,STANDARD,OXBOW,,,,,,,97840,433
97841,STANDARD,IMBLER,,,,,,,97841,434
97842,STANDARD,IMNAHA,,,,,,,97842,435
97843,STANDARD,IONE,,,,,,,97843,436
97844,STANDARD,IRRIGON,,,,,,,97844,437
97845,STANDARD,JOHN DAY,,,,,,,97845,438
97846,STANDARD,JOSEPH,,,,,,,97846,439
97848,STANDARD,KIMBERLY,,,,,,,97848,440
97850,STANDARD,LA GRANDE,ISLAND CITY,,,,,,97850,441
97856,STANDARD,LONG CREEK,FOX,RITTER,,,,,97856,442
97857,STANDARD,LOSTINE,,,,,,,97857,443
97859,PO BOX ONLY,MEACHAM,,,,,,,97859,444
97861,STANDARD,MIKKALO,ARLINGTON,,,,,,NO ZCTA,445
97862,STANDARD,MILTON FREEWATER,MILTON FRWTR,,,,,,97862,446
97864,STANDARD,MONUMENT,,,,,,,97864,447
97865,STANDARD,MOUNT VERNON,,,,MT VERNON,,,97865,448
97867,STANDARD,NORTH POWDER,,,,N POWDER,,,97867,449
97868,STANDARD,PILOT ROCK,,,,,,,97868,450
97869,STANDARD,PRAIRIE CITY,,,,,,,97869,451
97870,STANDARD,RICHLAND,,,,,,,97870,452
97873,STANDARD,SENECA,,,,,,,97873,453
97874,STANDARD,SPRAY,,,,,,,97874,454
97875,STANDARD,STANFIELD,,,,,,,97875,455
97876,STANDARD,SUMMERVILLE,,,,,,,97876,456
97877,STANDARD,SUMPTER,GRANITE,GREENHORN,,,,,97877,457
97880,PO BOX ONLY,UKIAH,DALE,,,,,,97880,458
97882,STANDARD,UMATILLA,MCNARY,,,,,,97882,459
97883,STANDARD,UNION,,,,,,,97883,460
97884,STANDARD,UNITY,,,,,,,97884,461
97885,STANDARD,WALLOWA,,,,,,,97885,462
97886,STANDARD,WESTON,,,,,,,97886,463
97901,STANDARD,ADRIAN,,,,,,,97901,464
97902,PO BOX ONLY,AROCK,,,,,,,97902,465
97903,STANDARD,BROGAN,,,,,,,97903,466
97904,STANDARD,DREWSEY,,,,,,,97904,467
97905,PO BOX ONLY,DURKEE,,,,WEATHERBY,,,97905,468
97906,STANDARD,HARPER,,,,,,,97906,469
97907,STANDARD,HUNTINGTON,,,,LIME,RYE VALLEY,,97907,470
97908,STANDARD,IRONSIDE,,,,,,,97908,471
97909,STANDARD,JAMIESON,,,,,,,97909,472
97910,STANDARD,JORDAN VALLEY,SOUTH MOUNTAIN,SO MTN,,BURNS JUNCTION,DANNER,ROME,97910,473
97911,STANDARD,JUNTURA,,,,BEULAH,JONESBORO,,97911,474
97913,STANDARD,NYSSA,,,,ARCADIA,OWYHEE CORNERS,,97913,475
97914,STANDARD,ONTARIO,,,,CAIRO,CLAUDE,,97914,476
97917,STANDARD,RIVERSIDE,,,,,,,97917,477
97918,STANDARD,VALE,,,,WILLOWCREEK,,,97918,478
97920,PO BOX ONLY,WESTFALL,,,,,,,97920,479
